Company,surcharges,RoR,dailycost,costwithload,costofDemand,Sales,WearandTear,Fcost
Yashida,2.7,9.36,222,12.1,12.9,32721,12.3,1.908
Wisconsin,1.2,11.8,148,59.9,3.5,7287,41.1,0.702
Virginia,1.07,9.3,174,54.3,5.9,10093,26.6,1.306
United,1.04,8.6,204,61,3.5,6650,0,2.116
Texas,1.16,11.7,104,54,-2.1,13507,0,0.636
Southern,1.05,12.6,150,56.7,2.7,10140,0,1.108
Shell,1.95,10.58,185,36,8.2,20004,26.7,1.305
San Diego,0.76,6.4,136,61.9,9,5714,8.3,1.92
Puget,1.16,9.9,252,56,9.2,15991,0,0.62
Pacific ,0.96,7.6,164,62.2,-0.1,6468,0.9,1.4
Oklahoma,1.09,12,96,49.8,1.4,9673,0,0.588
Oil&Gas,2.84,11.96,219,17.6,14.8,30931,53.4,1.982
Northern,1.15,12.7,199,53.7,6.4,7179,50.2,0.527
New England,1.13,10.9,178,62,3.7,6154,0,1.897
Nevada,0.75,7.5,173,51.5,6.5,17441,0,0.768
Nasdaq,0.89,10.1,170,57,8.4,15651,41.1,0.842
Madison ,1.12,12.4,197,53,2.7,6455,39.2,0.623
Kentucky,1.34,13,168,60.4,7.2,8406,0,0.862
KAKA sales,1.94,2.96,86,-49.8,3.9,27007,4,-0.012
Idaho,1.1,9.2,245,57,3.3,13082,0,0.309
Hawaiian ,1.22,12.2,175,67.6,2.2,7642,0,1.652
Florida ,1.32,13.5,111,60,-2.2,11127,22.5,1.241
Con Ed NY,1.49,8.8,192,51.2,1,3300,15.6,2.044
Commonwealth,1.02,11.2,168,56,0.3,6423,34.3,0.7
Central ,1.43,15.4,113,53,3.4,9212,0,1.058
CA Gas,1.95,1.86,49,-39.4,6.4,15280,12.3,1.14
BP,3.9,21.16,370,72,16.4,40008,53.4,2.61
Boston ,0.89,10.3,202,57.9,2.2,5088,25.3,1.555
Arizona ,1.06,9.2,151,54.4,1.6,9077,0,0.628
