twee_id,date and time,tweet
5.86E+17,Thu Apr 09 01:31:50 +0000 2015,Breast cancer risk test devised http://bbc.in/1CimpJF
5.86E+17,Wed Apr 08 23:30:18 +0000 2015,GP workload harming care - BMA poll http://bbc.in/1ChTBRv
5.86E+17,Wed Apr 08 23:30:18 +0000 2015,Short people's 'heart risk greater' http://bbc.in/1ChTANp
5.86E+17,Wed Apr 08 18:05:28 +0000 2015,New approach against HIV 'promising' http://bbc.in/1E6jAjt
5.86E+17,Wed Apr 08 13:19:33 +0000 2015,Coalition 'undermined NHS' - doctors http://bbc.in/1CnLwK7
5.86E+17,Wed Apr 08 09:18:39 +0000 2015,Review of case against NHS manager http://bbc.in/1Ffj6ci
5.86E+17,Wed Apr 08 09:18:39 +0000 2015,"VIDEO: 'All day is empty, what am I going to do?' http://bbc.in/1N7wSSz"
5.86E+17,Wed Apr 08 07:11:58 +0000 2015,VIDEO: 'Overhaul needed' for end-of-life care http://bbc.in/1CmrRu3
5.86E+17,Wed Apr 08 01:51:00 +0000 2015,Care for dying 'needs overhaul' http://bbc.in/1FdSGrl
5.85E+17,Tue Apr 07 13:41:42 +0000 2015,VIDEO: NHS: Labour and Tory key policies http://bbc.in/1Ci5eqD
5.85E+17,Tue Apr 07 13:41:42 +0000 2015,Have GP services got worse? http://bbc.in/1Ci5c22
5.85E+17,Tue Apr 07 09:38:39 +0000 2015,A&amp;E waiting hits new worst level http://bbc.in/1Fa4Xgz
5.85E+17,Tue Apr 07 03:30:52 +0000 2015,Parties row over GP opening hours http://bbc.in/1CfcVOb
5.85E+17,Tue Apr 07 00:04:09 +0000 2015,Why strenuous runs may not be so bad after all http://bbc.in/1Ceq0Y7
5.85E+17,Mon Apr 06 07:46:44 +0000 2015,VIDEO: Health surcharge for non-EU patients http://bbc.in/1C5Mlbk
5.85E+17,Mon Apr 06 07:46:44 +0000 2015,VIDEO: Skin cancer spike 'from 60s holidays' http://bbc.in/1C9Gy3o
5.85E+17,Mon Apr 06 02:12:52 +0000 2015,"80,000 'might die' in future outbreak http://bbc.in/1F3nif2"
5.85E+17,Mon Apr 06 01:41:34 +0000 2015,Skin cancer 'linked to holiday boom' http://bbc.in/1Pb4Xjb
5.84E+17,Fri Apr 03 23:48:37 +0000 2015,Public 'back tax rises to fund NHS' http://bbc.in/1ETauYE
5.84E+17,Fri Apr 03 23:48:37 +0000 2015,VIDEO: Welcome to the designer asylum http://bbc.in/1CD3Dip
5.84E+17,Fri Apr 03 11:49:19 +0000 2015,VIDEO: Why are we having less sex? http://bbc.in/19RKqiY
5.84E+17,Fri Apr 03 03:44:51 +0000 2015,Five ideas to transform the NHS http://bbc.in/1BTQU7k
5.84E+17,Fri Apr 03 00:15:02 +0000 2015,Personal cancer vaccines 'exciting' http://bbc.in/1ENwsMD
5.84E+17,Thu Apr 02 23:19:22 +0000 2015,Child heart surgery deaths 'halved' http://bbc.in/1BT4s2U
5.84E+17,Thu Apr 02 21:39:55 +0000 2015,VIDEO: Miliband: Cameron 'failed' the NHS http://bbc.in/1BSKo0T
5.84E+17,Thu Apr 02 15:57:21 +0000 2015,Unsafe food 'growing global threat' http://bbc.in/1BREQDJ
5.84E+17,Thu Apr 02 13:04:53 +0000 2015,Health highlights http://bbc.in/1EKlFCK
5.84E+17,Thu Apr 02 08:43:39 +0000 2015,Ambulance progress 'not fast enough' http://bbc.in/1P1AJyX
5.83E+17,Wed Apr 01 23:10:37 +0000 2015,Children’s hospital builds sleep app http://bbc.in/1BO9jlZ
5.83E+17,Wed Apr 01 23:10:37 +0000 2015,Drug giant 'blocks' eye treatment http://bbc.in/1P0rpv2
5.83E+17,Wed Apr 01 22:39:24 +0000 2015,Blood test for Down's syndrome hailed http://bbc.in/1BO3eWQ
5.83E+17,Wed Apr 01 22:39:24 +0000 2015,VIDEO: 'We must plan for future of NHS' http://bbc.in/1BRNoeJ
5.83E+17,Tue Mar 31 23:52:26 +0000 2015,Paracetamol ‘no good for back pain' http://bbc.in/1MvP0oO
5.83E+17,Tue Mar 31 23:52:26 +0000 2015,Care system 'gets biggest shake-up' http://bbc.in/19Ad4Vy
5.83E+17,Tue Mar 31 23:52:26 +0000 2015,VIDEO: Could existing drugs offer MS hope? http://bbc.in/1OWzSPT
5.83E+17,Tue Mar 31 18:12:55 +0000 2015,MS drug 'may already be out there' http://bbc.in/1BIUAZx
5.83E+17,Tue Mar 31 08:37:56 +0000 2015,VIDEO: Nursing code of conduct launched http://bbc.in/1BLrny7
5.83E+17,Tue Mar 31 07:33:31 +0000 2015,VIDEO: Disability village 'under threat' http://bbc.in/1BLlj8L
5.83E+17,Tue Mar 31 02:21:55 +0000 2015,Uganda circumcision truck fights HIV http://bbc.in/1BKT2iJ
