twee_id,date and time,tweet
5.85943E+17,Wed Apr 08 23:10:24 +0000 2015,Injury prevention programs unpopular with high school coaches http://ow.ly/Lma9z
5.85934E+17,Wed Apr 08 22:35:27 +0000 2015,6 dietary changes to make midlife http://ow.ly/LlYfl
5.85926E+17,Wed Apr 08 22:05:36 +0000 2015,Massachusetts governor gets head shaved to support charity  http://ow.ly/LlLI3
5.85922E+17,Wed Apr 08 21:45:49 +0000 2015,Dad wins 3 marathons in 8 days; winnings to help ailing son http://ow.ly/LlLyZ
5.85915E+17,Wed Apr 08 21:20:32 +0000 2015,Possible cure for melanoma? http://ow.ly/LlLg8
5.85908E+17,Wed Apr 08 20:50:29 +0000 2015,"Wear orange glasses to get better sleep, study says http://ow.ly/LlL69"
5.85896E+17,Wed Apr 08 20:05:16 +0000 2015,"Utah girl, 17, has rare allergy to water http://ow.ly/LlKYU"
5.85891E+17,Wed Apr 08 19:45:06 +0000 2015,Higher purpose in life tied to better brain health  http://ow.ly/LlmOO
5.85885E+17,Wed Apr 08 19:20:23 +0000 2015,Kids may be more likely to use customized playgrounds  http://ow.ly/LlmKx
5.8588E+17,Wed Apr 08 19:00:15 +0000 2015,Marijuana harvested for medical use in Chile  http://ow.ly/Llmaj
5.85871E+17,Wed Apr 08 18:25:11 +0000 2015,Museums offer array of programs for the disabled  http://ow.ly/LllIf
5.85866E+17,Wed Apr 08 18:05:14 +0000 2015,Girl born with heart on wrong side of body prepares for 8th birthday   http://ow.ly/LllF0
5.85857E+17,Wed Apr 08 17:30:56 +0000 2015,Boy gets food allergies from blood transfusion  http://ow.ly/LllBM
5.85848E+17,Wed Apr 08 16:55:32 +0000 2015,Chinese citizens sue government over transparency on Monsanto herbicide  http://ow.ly/Lllze
5.85843E+17,Wed Apr 08 16:35:29 +0000 2015,'Princess Lacey' tribute begins again for Michigan State University campus rock  http://ow.ly/LllvX
5.85841E+17,Wed Apr 08 16:24:23 +0000 2015,"Answering personal questions activates unique brain activity pattern, study suggests http://ow.ly/LlRmW via @mindyC_"
5.8584E+17,Wed Apr 08 16:20:09 +0000 2015,"Kailahun Ebola case report was a mistake, says Sierra Leone  http://ow.ly/LllsI"
5.85832E+17,Wed Apr 08 15:50:36 +0000 2015,Minnesota bird flu cases rise as investigators arrive  http://ow.ly/LllpI
5.85822E+17,Wed Apr 08 15:10:37 +0000 2015,"Erectile dysfunction drugs vary in effectiveness, side effects  http://ow.ly/LlllW"
5.85816E+17,Wed Apr 08 14:45:14 +0000 2015,Blue Bell expands recall of ice cream made at Oklahoma plant http://ow.ly/LllhY
5.85808E+17,Wed Apr 08 14:15:55 +0000 2015,Interactive rehabilitation device restores vet’s use of hand after stroke http://ow.ly/Lllah via @EditorNicoleK
5.85805E+17,Wed Apr 08 14:02:27 +0000 2015,BurnThis app: Share fitness photos to stay motivated  http://ow.ly/LlkWI
5.85798E+17,Wed Apr 08 13:35:51 +0000 2015,"Little-known neurological condition causes uncontrollable crying, laughter http://ow.ly/Llc4n #PBAFilm @PBAInfo"
5.85583E+17,Tue Apr 07 23:20:26 +0000 2015,US ambassador using bionic hand to help recover after knife attack http://ow.ly/Ljqd1
5.85577E+17,Tue Apr 07 22:55:06 +0000 2015,More teens using long-term birth control http://ow.ly/LjeGL
5.85568E+17,Tue Apr 07 22:20:35 +0000 2015,‘I wasn’t going to give up’: Wife of man debilitated by accident hopeful for recovery after 4 years http://ow.ly/LiUWe
